Name,NameC,Category,CategoryIndex,Cmd,ObjectCode,DataType,Access,LowerLimit,UpperLimit,DefaultValue,Unit,VariableName,NonVolatile,DriveStatus,Effective,Public,Transform,402Index,402SubIndex,402ObjectCode,402DataType,402LowerLimit,402UpperLimit,402DefaultValue,402Unit,Description,InternalNotes,PDOMapping,ModbusStartAddress,ModbusLength,正确性,备注,ParamsType
Deadzone Compensation Enable,死区补偿开关,ExternalDevice,0,,Val,UNS8,RW,0,1,1,-,deadzone_comp_enable,Y,Enabled|Disabled,立即,Y,1,0x35B3,0x00,Val,UNS8,0,1,1,-,"0：关闭
1：打开
驱动器默认打开死区补偿开关",,,793,1,,,补偿功能参数
Motor Movement Type,电机运动类型,Motor,2,MMTYPE,Val,UNS8,RW,0,255,0,-,motor_move_type,Y,Disabled,,N,1,,,,,-,-,-,,,,,,,,,伺服电机参数
Motor Commutation Type,电机换向类型,Motor,3,MCTYPE,Val,UNS8,RW,0,255,0,-,motor_commutation_type,Y,Disabled,,N,1,,,,,-,-,-,,,,,,,,,伺服电机参数
Motor Peak Current,电机峰值电流,Motor,4,MIPEAK,Val,REAL32,RW,0,3.40282347e+38,3,A,motor_peak_current,Y,Disabled,立即,Y,1000,0x3528,0x00,Val,UNS32,0,4294967295,3000,mA,电机参数表中的电机峰值电流,https://hs9e67ygio.feishu.cn/wiki/wikcnZ2JYA2xB8EBAXHphXM7Ejg?from=from_copylink,,64,2,,,伺服电机参数
Motor Continuous Current,电机额定电流,Motor,5,MICONT,Val,REAL32,RW,0,3.40282347e+38,1,A,motor_cont_current,Y,Disabled,立即,Y,1000,0x6075,0x00,Val,UNS32,0,4294967295,1000,mA,电机参数表中的电机额定电流,https://hs9e67ygio.feishu.cn/wiki/wikcnZ2JYA2xB8EBAXHphXM7Ejg?from=from_copylink,,61480,2,,,伺服电机参数
Motor Rated Torque,电机额定力矩/推力,Motor,6,MRT,Val,REAL32,RW,0,3.40282347e+38,1,"mN·m
mN",motor_rated_torque,Y,Disabled,立即,Y,1,0x6076,0x00,Val,UNS32,0,4294967295,1,mN·m,,,,61482,2,疑问,前后单位不对应,伺服电机参数
Motor Maximum Speed RPM,电机最大转速/速度(RPM),Motor,7,MSPEED,Val,UNS32,RW,1,4294967295,2000,"rpm
mm/s",motor_max_speed_rpm,Y,Enabled|Disabled,立即,Y,1,0x6080,0x00,Val,UNS32,1,4294967295,2000,"RPM
",应用限制速度不可超过电机最大转速,https://hs9e67ygio.feishu.cn/wiki/wikcnPBeikPIxBY4uNW44gqqfJg#doxcnc0Yym06s402MItadJ7pBwb,,61503,2,,,伺服电机参数
Motor Inductance,电机相间电感,Motor,8,ML,Val,UNS32,RW,1,4294967295,675,uH,motor_inductance,Y,Disabled,立即,Y,1,0x3513,0x00,Val,UNS32,1,4294967295,675,uH,,,,35,2,,,伺服电机参数
Motor Resistance,电机相间电阻,Motor,9,MR,Val,UNS32,RW,1,4294967295,900,momh,motor_resistance,Y,Disabled,立即,Y,1,0x3514,0x00,Val,UNS32,1,4294967295,900,momh,,,,37,2,,,伺服电机参数
Motor Pole Pairs,电机极对数（旋转电机）,Motor,10,MPP,Val,UNS32,RW,1,4294967295,7,poles,motor_pole_pairs,Y,Disabled,立即,Y,1,0x3515,0x00,Val,UNS32,1,4294967295,7,对,,,,39,2,,,伺服电机参数
Motor Pole Pair Pitch,电机极对距（直线电机）,Motor,11,MPITCH,Val,UNS32,RW,1,4294967295,2000,um,motor_pole_pair_pitch,Y,Disabled,立即,Y,1,0x35C2,,,UNS32,1,4294967295,2000,um,,,,905,2,错误,402DefaultValue不对,伺服电机参数
Motor Torque Constant,电机转矩常数（旋转电机）,Motor,12,MKT,Val,UNS32,RW,0,4294967295,75,mN.m/A,motor_torque_constant,Y,Disabled,立即,Y,1,0x3533,0x00,Val,UNS32,0,4294967295,75,mN.m/A,,,,73,2,,,伺服电机参数
Motor Rotor Inertia,电机转子惯量（旋转电机）,Motor,13,MJ,Val,UNS32,RW,0,4294967295,200,g·cm^2,motor_rotor_inertia,Y,Disabled,立即,Y,1,0x3516,0x00,Val,UNS32,0,4294967295,200,g*cm2,,,,41,2,,,伺服电机参数
Motor Force Constant,电机力矩常数（直线电机）,Motor,14,MKF,Val,UNS32,RW,0,4294967295,75,mN/A,motor_force_constant,Y,Disabled,立即,Y,1,0x35C3,,,UNS32,0,4294967295,75,,,,,907,2,错误,读取此字典的值为0，与402DefaultValue不匹配,伺服电机参数
Motor Mover Mass,电机动子质量（直线电机）,Motor,15,MMASS,Val,UNS32,RW,0,4294967295,200,g,motor_mover_mass,Y,Disabled,立即,Y,1,0x35C4,,,UNS32,0,4294967295,200,,,,,909,2,错误,读取此字典的值为0，与402DefaultValue不匹配,伺服电机参数
Motor Damping,电机速度阻尼系数,Motor,16,MD,Val,INTEGER32,RW,-2147483648,2147483647,0,N*M/(rad/s),motor_damping,Y,Enabled|Disabled,立即,Y,1,0x3517,0x00,Val,INTEGER32,-2147483648,2147483647,0,N*M/(rad/s),,,,43,2,,,伺服电机参数
Motor Flux Linkage,电机磁链,Motor,17,MFL,Val,UNS32,RW,0,4294967295,1,Wb,motor_flux_linkage,Y,Disabled,立即,Y,1,0x3518,0x00,Val,UNS32,0,4294967295,1,Wb,,,,45,2,,,伺服电机参数
Motor Name,电机名称,Motor,18,,Array,UNS8,RW,0,255,0,-,motor_name[20],Y,Enabled|Disabled,立即,Y,1,0x365E,,Array,UNS8,0,255,0,-,,,,1175,1,,,伺服电机参数
Can Baudrate,CAN通讯波特率,Commucation,1,,Val,UNS32,RW,0,4294967295,1000,kbps,can_baudrate,Y,Disabled,重启,Y,1,0x3519,0x00,Val,UNS32,0,4294967295,1000,kb,,https://hs9e67ygio.feishu.cn/wiki/wikcnLEMkuWTlTTBWf9EMS66Iih?from=from_copylink,,47,2,疑问,实测修改波特率后不需要保存复位生效,通讯参数
Can Node ID,CAN节点ID,Commucation,2,,Val,UNS8,RW,0,255,1,-,can_node_id,Y,Disabled,重启,Y,1,0x351A,0x00,Val,UNS8,0,255,1,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnLEMkuWTlTTBWf9EMS66Iih?from=from_copylink,,48,1,疑问,实测修改ID后不需要保存复位后生效,通讯参数
Modbus Baudrate,Modbus通讯波特率,Commucation,3,,Val,UNS32,RW,0,4294967295,115200,bps,modbus_baudrate,Y,Disabled,重启,Y,1,0x3659,0x00,Val,UNS32,0,4294967295,115200,bps,,,,1146,2,疑问,实测修改波特率后不需要保存复位生效,通讯参数
Modbus Node ID,Modbus节点ID,Commucation,4,,Val,UNS8,RW,0,255,1,-,modbus_node_id,Y,Disabled,重启,Y,1,0x365A,0x00,Val,UNS8,0,255,1,-,,,,1147,1,疑问,实测修改ID后不需要保存复位后生效,通讯参数
Current Loop Frequency,电流环运行频率,Control,0,,Val,UNS32,RW,0,4294967295,40000,-,current_loop_freq,Y,Disabled,,Y,1,0x355F,0x00,Val,UNS32,0,4294967295,40000,-,,,,397,2,疑问,生效时刻？,基本控制参数
Hall Type,霍尔类型,ExternalDevice,1,,Val,UNS8,RW,0,2,0,-,hall_type,Y,Disabled,立即,Y,1,0x3532,0x00,Val,UNS8,0,2,0,-,"0：无霍尔
1：120°霍尔",https://hs9e67ygio.feishu.cn/wiki/wikcnfD1XCSVWqfdkeLZxiWl5Gg?from=from_copylink,,71,1,,,霍尔参数
Hall Error Counting Time,霍尔累计错误计数时间,ExternalDevice,2,,Val,UNS32,RW,0,4294967295,10000,ms,hall_error_counting_time,Y,Disabled,,Y,1,0x3567,0x00,Val,UNS32,0,4294967295,10000,ms,,,,413,2,疑问,此字典可读可写？实际测试可读可写,霍尔参数
ADC1 Voltage Range,ADC1电压范围,ExternalDevice,3,,Val,UNS8,RW,0,11,0,-,adc1_voltage_range,Y,Disabled,,Y,1,0x3578,0x00,Val,UNS8,0,11,0,-,,,,444,1,错误,读取此字典的值为0，与402DefaultValue不匹配,模拟量控制模式参数
ADC2 Voltage Range,ADC2电压范围,ExternalDevice,4,,Val,UNS8,RW,0,11,0,-,adc2_voltage_range,Y,Disabled,,Y,1,0x3579,0x00,Val,UNS8,0,11,0,-,,,,445,1,错误,读取此字典的值为0，与402DefaultValue不匹配,模拟量控制模式参数
ADC1 Sampling Offset,ADC1采样偏移值,ExternalDevice,5,,Val,INTEGER32,RW,-2147483648,2147483647,0,-,adc1_sampling_offset,Y,Enabled|Disabled,立即,Y,1,0x35B4,0x01,Struct,INTEGER32,-2147483648,2147483647,0,-,ADC1采样偏移设置正值，ADC1当前值负向偏移；反之，ADC1当前值正向偏移。,https://hs9e67ygio.feishu.cn/wiki/wikcn9ROIQLcfvG959e6AlYSVEb?from=from_copylink,,795,2,,,模拟量控制模式参数
ADC2 Sampling Offset,ADC2采样偏移值,ExternalDevice,6,,Val,INTEGER32,RW,-2147483648,2147483647,0,-,adc2_sampling_offset,Y,Enabled|Disabled,立即,Y,1,0x35B4,0x02,Struct,INTEGER32,-2147483648,2147483647,0,-,ADC2采样偏移设置正值，ADC2当前值负向偏移；反之，ADC2当前值正向偏移。,https://hs9e67ygio.feishu.cn/wiki/wikcn9ROIQLcfvG959e6AlYSVEb?from=from_copylink,,797,2,,,模拟量控制模式参数
ADC1 Sampling Resolution Reduction,ADC1降低分辨率,ExternalDevice,7,,Val,UNS32,RW,0,31,0,bit,adc1_sampling_res_reduction,Y,Disabled,立即,Y,1,0x35A9,0x00,Val,UNS32,0,31,0,二进制位数,降低ADC1分辨率，会使采集到的ADC1当前值精度降低,https://hs9e67ygio.feishu.cn/wiki/wikcn9ROIQLcfvG959e6AlYSVEb?from=from_copylink,,753,2,,,模拟量控制模式参数
ADC2 Sampling Resolution Reduction,ADC2降低分辨率,ExternalDevice,8,,Val,UNS32,RW,0,31,0,bit,adc2_sampling_res_reduction,Y,Disabled,立即,Y,1,0x35AA,0x00,Val,UNS32,0,31,0,二进制位数,降低ADC2分辨率，会使采集到的ADC2当前值精度降低,https://hs9e67ygio.feishu.cn/wiki/wikcn9ROIQLcfvG959e6AlYSVEb?from=from_copylink,,755,2,,,模拟量控制模式参数
PWM Capture Period Filter Time,PWM捕获周期滤波时间,ExternalDevice,9,,Val,UNS8,RW,0,255,20,ms,pwm_capture_period_filter_time,Y,Enabled|Disabled,立即,Y,1,0x35A1,0x02,Struct,UNS8,0,255,20,ms,,https://hs9e67ygio.feishu.cn/wiki/wikcnHzsUfaC7r8791yUxEwbYDh?from=from_copylink,,731,1,,,PWM控速模式参数
PWM Capture Period Resolution Reduction,PWM捕获周期降低分辨率,ExternalDevice,10,,Val,UNS8,RW,0,32,0,bit,pwm_capture_period_res_reduction,Y,Enabled|Disabled,立即,Y,1,0x35A1,0x03,Struct,UNS8,0,32,0,二进制位数,,https://hs9e67ygio.feishu.cn/wiki/wikcnHzsUfaC7r8791yUxEwbYDh?from=from_copylink,,732,1,,,PWM控速模式参数
Pulse Capture Signal Type,脉冲捕获信号模式,ExternalDevice,11,,Val,UNS8,RW,0,4,0,-,pulse_capture_signal_type,Y,Disabled,立即,Y,1,0x35B2,0x02,Val,UNS8,0,4,0,-,"0：正交控制
1：方向脉冲控制
2：正负双脉冲控制",https://hs9e67ygio.feishu.cn/wiki/wikcnadoYsAoShVPxSiRoK4HFzd#doxcnq0SSCskYUEYcOKO6fz3FVc,,792,1,,,脉冲控位置模式参数
Serial Encoder Error Counting Time,串行通信编码器错误计数时间窗口,ExternalDevice,12,,Val,UNS32,RW,0,4294967295,10000,ms,serial_enc_error_counting_time,Y,Disabled,立即,Y,1,0x3566,0x00,Val,UNS32,0,4294967295,10000,ms,,,,411,2,,,编码器参数
Encoder1 Type,编码器1类型,ExternalDevice,13,,Val,INTEGER8,RW,-1,127,0,-,enc1_type,Y,Disabled,重启,Y,1,0x3002,0x00,Val,UNS8,0,127,0,-,"0：增量式
1：增量式AB
2：绝对式-BISS-C
3：绝对式-Tamagawa
4：绝对式-SSI
5：Halls Only
6：绝对式-UDC.Pa
7：绝对式-NiKon
8：增量式-UDC.Pa
9：绝对式EnDat22
255:无编码器",https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc#doxcnmEoGmOsO6iYcUHF7XibcOf,,2,1,错误,前后数据类型不一致,编码器参数
Encoder1 Single Turn Hardware Resolution,编码器1硬件单圈分辨率（p）,ExternalDevice,14,,Val,UNS32,RW,0,4294967295,4096,p,enc1_single_turn_hw_res,Y,Disabled,重启,Y,1,0x35B9,0x01,Struct,UNS8,0,255,4096,,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,831,2,,,编码器参数
Encoder1 Single Turn Effective Resolution,编码器1单圈有效分辨率脉冲数,ExternalDevice,15,,Val,UNS32,RW,1,4294967295,4096,p,enc1_single_turn_eff_res,Y,Disabled,重启,Y,1,0x35C5,0x00,Val,UNS32,1,4294967295,4096,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,911,2,,,编码器参数
Encoder1 Multi Turn Hardware Resolution,编码器1多圈硬件分辨率脉冲数,ExternalDevice,16,,Val,UNS32,RW,0,4294967295,1,p,enc1_multi_turn_hw_res,Y,Disabled,重启,Y,1,0x353E,0x00,Val,UNS32,0,4294967295,1,p,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,91,2,,,编码器参数
Encoder1 High Mask Bits,编码器1数据高位忽略位数（bit）,ExternalDevice,17,,Val,UNS8,RW,0,255,0,bit,enc1_high_mask_bits,Y,Disabled,重启,Y,1,0x35B9,0x05,Struct,UNS8,0,255,0,,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,835,1,,,编码器参数
Encoder1 Baudrate,编码器1通讯波特率,ExternalDevice,18,,Val,UNS32,RW,0,4294967295,2500000,bps,enc1_baudrate,Y,Disabled,重启,Y,1,0x3540,0x00,Val,UNS32,0,4294967295,2500000,bit/s,625000: 0.625 MHz 1250000: 1.25 MHz 2500000: 2.5 MHz 5000000: 5.0 MHz,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,95,2,,,编码器参数
Encoder1 Zero Bits,编码器1通讯零位,ExternalDevice,19,,Val,UNS8,RW,0,36,0,-,enc1_zero_bits,Y,Disabled,重启,Y,1,0x3542,0x00,Val,UNS8,0,36,0,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,98,1,,,编码器参数
Encoder1 Ack Bits,编码器1应答位数,ExternalDevice,20,,Val,UNS8,RW,0,36,0,-,enc1_ack_bits,Y,Disabled,重启,Y,1,0x354C,0x00,Val,UNS8,0,36,0,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,371,1,,,编码器参数
Encoder1 Error Warning Bits,编码器1错误警告位数,ExternalDevice,21,,Val,UNS8,RW,0,36,2,-,enc1_error_bits,Y,Disabled,重启,Y,1,0x354D,0x00,Val,UNS8,0,36,2,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,372,1,,,编码器参数
Encoder1 Crc Bits,编码器1CRC校验位数,ExternalDevice,22,,Val,UNS8,RW,0,36,6,-,enc1_crc_bits,Y,Disabled,重启,Y,1,0x354E,0x00,Val,UNS8,0,36,6,-,,,,373,1,,,编码器参数
Encoder1 Crc Poly,编码器1CRC校验多项式,ExternalDevice,23,,Val,UNS32,RW,0,4294967295,67,-,enc1_crc_poly,Y,Disabled,重启,Y,1,0x354F,0x00,Val,UNS32,0,4294967295,67,-,,,,375,2,,,编码器参数
Encoder1 Error Active Level,编码器1错误应答电平,ExternalDevice,24,,Val,UNS8,RW,0,2,2,-,enc1_error_active_level,Y,Disabled,重启,Y,1,0x3550,0x00,Val,UNS8,0,2,2,-,"0: 0 
1: 1 
2: None",https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,376,1,,,编码器参数
Encoder1 Data Encoding Format,编码器1数据编码格式,ExternalDevice,25,,Val,UNS8,RW,0,1,0,-,enc1_data_coding_format,Y,Disabled,重启,Y,1,0x3551,0x00,Val,UNS8,0,1,0,-,"0: 二进制 
1: 格雷码",https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,377,1,,,编码器参数
Encoder1 Control Word Status,编码器1控制字状态,ExternalDevice,26,,Val,UNS8,RW,0,2,0,-,enc1_control_word_status,Y,Disabled,重启,Y,1,0x35B9,0x02,Struct,UNS8,0,2,0,-,"0: 0 
1: 1 
2: None",https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,832,1,,,编码器参数
Encoder1 Protocol Total Bits,编码器1协议数据总位数（bit）,ExternalDevice,27,,Val,UNS8,RW,0,255,32,bit,enc1_protocol_total_bits,Y,Disabled,重启,Y,1,0x35B9,0x03,Struct,UNS8,0,255,32,bit,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,833,1,,,编码器参数
Encoder1 Position LSB Number,编码器1位置数据LSB位置（bit）,ExternalDevice,28,,Val,UNS8,RW,0,255,8,bit,enc1_positon_lsb_num,Y,Disabled,重启,Y,1,0x35B9,0x04,Struct,UNS8,0,255,8,bit,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,834,1,,,编码器参数
Encoder1 Error Bit Number,编码器1错误位位置（bit）,ExternalDevice,29,,Val,UNS8,RW,0,255,7,bit,enc1_error_bit_num,Y,Disabled,重启,Y,1,0x35B9,0x06,Struct,UNS8,0,255,7,bit,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,836,1,,,编码器参数
Encoder1 Data Polling Time,编码器1数据轮询时间（TS）,ExternalDevice,30,,Val,UNS8,RW,0,7,0,-,enc1_data_polling_time,Y,Disabled,重启,Y,1,0x35B9,0x07,Struct,UNS8,0,7,0,-,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,837,1,,,编码器参数
Encoder1 Temperature Threshold,编码器1温度保护阈值,ExternalDevice,31,,Val,UNS8,RW,0,255,0,℃,enc1_temp_threshold,Y,Disabled,重启,Y,1,0x35B9,0x09,Struct,UNS8,0,255,0,℃,,,,839,1,,,编码器参数
Encoder2 Type,编码器2类型,ExternalDevice,32,,Val,INTEGER8,RW,-1,127,-1,-,enc2_type,Y,Disabled,重启,Y,1,0x3537,0x00,Val,UNS8,0,127,-1,-,"1：增量式AB
2：绝对式-BISS-C
3：绝对式-Tamagawa
4：绝对式-SSI
6：绝对式-UDC.Pa
7：绝对式-NiKon
8：增量式-UDC.Pa
9：绝对式EnDat22
10：模拟量-SIN/COS
11：模拟量-Hiperface
12：模拟量-线性霍尔
255:无编码器",https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc#doxcnmEoGmOsO6iYcUHF7XibcOf,,78,1,错误,前后数据类型不一致,编码器参数
Encoder2 Single Turn Hardware Resolution,编码器2硬件单圈分辨率（p）,ExternalDevice,33,,Val,UNS32,RW,0,4294967295,4096,p,enc2_single_turn_hw_res,Y,Disabled,重启,Y,1,0x35BA,0x01,Struct,UNS32,0,4294967295,4096,p,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,847,2,,,编码器参数
Encoder2 Single Turn Effective Resolution,编码器2单圈有效分辨率脉冲数,ExternalDevice,34,,Val,UNS32,RW,1,4294967295,4096,p,enc2_single_turn_eff_res,Y,Disabled,重启,Y,1,0x3538,0x00,Val,UNS32,1,4294967295,4096,p,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,80,2,,,编码器参数
Encoder2 Multi Turn Hardware Resolution,编码器2多圈硬件分辨率脉冲数,ExternalDevice,35,,Val,UNS32,RW,0,4294967295,1,p,enc2_multi_turn_hw_res,Y,Disabled,重启,Y,1,0x353F,0x00,Val,UNS32,0,4294967295,1,p,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,93,2,,,编码器参数
Encoder2 High Mask Bits,编码器2数据高位忽略位数（bit）,ExternalDevice,36,,Val,UNS8,RW,0,255,0,bit,enc2_high_mask_bits,Y,Disabled,重启,Y,1,0x35BA,0x05,Struct,UNS8,0,255,0,bit,,https://hs9e67ygio.feishu.cn/wiki/wikcnCiTgrUYCvosocErK6CJtCc?from=from_copylink,,851,1,,,编码器参数
